qnm,output_norm
0.00753,13008.53522
0.00754,12537.54777
0.00755,13079.21498
0.00756,13519.48846
0.00757,12783.40081
0.00758,13219.61073
0.00759,12678.96518
0.0076,13253.15526
0.00761,11956.95263
0.00762,12698.26174
0.00763,13447.71417
0.00764,12884.32632
0.00765,12340.94899
0.00766,11457.48988
0.00767,12150.53421
0.00768,12491.77632
0.00769,10824.78138
0.0077,11817.06842
0.00771,11586.79676
0.00772,10258.28441
0.00773,11370.3332
0.00774,11420.0917
0.00775,10778.81964
0.00776,11941.07126
0.00777,10579.45344
0.00778,11138.97409
0.00779,11226.86478
0.0078,11045.11336
0.00781,11303.46761
0.00782,11614.25506
0.00783,10838.39453
0.00784,10036.43704
0.00785,11528.62915
0.00786,11526.31619
0.00787,10739.32611
0.00788,10668.41275
0.00789,9984.728947
0.0079,10416.90709
0.00791,10916.2587
0.00792,10056.05729
0.00793,9842.197571
0.00794,10196.0668
0.007950001,9432.793725
0.00796,10273.95405
0.00797,10194.06761
0.00798,10216.69899
0.00799,9917.509919
0.008,9450.696559
0.00801,9610.886032
0.00802,10165.16377
0.00803,9697.336032
0.00804,9576.278947
0.00805,9224.131984
0.00806,9994.577935
0.00807,9650.589879
0.00808,9367.142713
0.00809,10847.56215
0.0081,8568.12996
0.00811,10147.92874
0.00812,9532.059312
0.00813,8792.725911
0.00814,9887.885628
0.00815,9237.625709
0.00816,9043.132996
0.00817,9994.216397
0.00818,8838.056883
0.00819,9109.742308
0.0082,9506.491903
0.00821,9326.545547
0.00822,8198.380567
0.00823,9289.439676
0.00824,9606.041498
0.00825,9212.145547
0.00826,9041.253846
0.00827,8322.18502
0.00828,8814.797368
0.00829,8478.468826
0.0083,8197.40081
0.00831,8743.216397
0.00832,8240.071053
0.00833,8318.572874
0.00834,8643.36336
0.00835,8365.874494
0.00836,7766.531579
0.00837,8288.481579
0.00838,8302.157692
0.00839,8701.140891
0.0084,8219.219028
0.00841,8127.952227
0.00842,8986.825101
0.00843,7721.784413
0.00844,8598.247368
0.00845,8852.564372
0.00846,8411.577328
0.00847,8709.053846
0.00848,8196.067004
0.00849,8493.927328
0.008500001,8641.401822
0.00851,8262.540283
0.00852,8042.986235
0.00853,8489.42004
0.00854,7914.366397
0.00855,8473.581781
0.00856,7931.346154
0.00857,7793.228745
0.00858,8322.511741
0.00859,7895.761741
0.0086,8381.171053
0.00861,7756.289676
0.00862,7754.26336
0.00863,8542.510121
0.00864,7916.045344
0.00865,7031.422267
0.00866,7941.203239
0.00867,7532.051417
0.00868,7959.747976
0.00869,7931.034211
0.0087,7755.004656
0.00871,7735.577126
0.00872,7759.678543
0.00873,7600.22247
0.00874,8148.071053
0.00875,7840.639271
0.00876,7486.160121
0.00877,7686.757085
0.00878,7764.554049
0.00879,7782.166599
0.0088,7274.64251
0.00881,7541.26417
0.00882,7791.068421
0.00883,7380.287652
0.00884,7314.271457
0.00885,7538.15
0.00886,7974.841093
0.00887,7644.505061
0.00888,7438.244534
0.00889,7732.793522
0.0089,7951.754656
0.00891,8077.182591
0.00892,7353.368623
0.00893,8048.992713
0.00894,8104.719433
0.00895,7321.590081
0.00896,7849.119231
0.00897,7864.37247
0.00898,7763.863968
0.00899,7521.540891
0.009,7294.997773
0.00901,7902.327935
0.00902,7681.888462
0.00903,7797.653239
0.00904,7389.855061
0.009050001,7240.637652
0.00906,7902.424291
0.00907,7146.833198
0.00908,7583.962348
0.00909,7114.606275
0.0091,7636.107085
0.00911,7286.099595
0.00912,7275.061943
0.00913,7795.12915
0.00914,7165.598988
0.00915,7447.143522
0.00916,7235.844332
0.00917,7649.181579
0.00918,7792.47085
0.00919,6568.212551
0.0092,7075.467206
0.00921,7417.283198
0.00922,7185.408907
0.00923,7803.643725
0.00924,7214.640283
0.00925,7064.586437
0.00926,7339.465789
0.00927,7260.458704
0.00928,7367.32085
0.00929,7330.537854
0.0093,7730.263158
0.00931,7240.982996
0.00932,7050.762753
0.00933,7633.603441
0.00934,7061.778138
0.00935,8156.82915
0.00936,7779.440283
0.00937,7469.635628
0.00938,7552.164575
0.00939,7830.047571
0.0094,7282.858097
0.00941,7773.019838
0.00942,7410.188057
0.00943,7720.377733
0.00944,6961.611943
0.00945,7483.380972
0.00946,7220.980364
0.00947,7753.838259
0.00948,7015.99919
0.00949,7469.635628
0.0095,7340.29413
0.00951,7598.262348
0.00952,7118.464777
0.00953,7506.704049
0.00954,7571.100405
0.00955,7394.632794
0.00956,7605.44251
0.00957,7638.895749
0.00958,7517.923279
0.00959,7806.144534
0.009600001,7483.049798
0.00961,6786.30081
0.00962,7465.439069
0.00963,7499.733806
0.00964,7796.718623
0.00965,7912.903441
0.00966,6914.914372
0.00967,7471.860121
0.00968,7353.846154
0.00969,7344.953441
0.0097,7539.105668
0.00971,7235.395951
0.00972,7425.929352
0.00973,7524.479555
0.00974,7192.287045
0.00975,7532.411741
