q(nm^-1),Intensity
0.00602,19184.87138
0.00603,18955.55145
0.00604,19432.27492
0.00605,18906.4582
0.00606,18571.01447
0.00607,18890.32637
0.00608,18326.80225
0.00609,18040.21061
0.0061,17942.56431
0.00611,18114.7508
0.00612,17578.11093
0.00613,17325.77974
0.00614,17213.34887
0.00615,17323.45498
0.00616,16926.58199
0.00617,17106.67203
0.00618,17028.0627
0.00619,16483.58682
0.0062,16877.67363
0.00621,16140.41801
0.00622,16283.91961
0.00623,16213.06109
0.00624,15793.92026
0.00625,15672.08055
0.00626,15501.34486
0.00627,15715.60193
0.00628,15572.34695
0.00629,15354.76045
0.0063,14882.32878
0.00631,14561.58794
0.00632,14335.15354
0.00633,14405.8365
0.00634,14647.04711
0.00635,14391.66109
0.00636,13927.42299
0.00637,13959.41929
0.00638,14019.2926
0.00639,13960.75965
0.0064,13558.28296
0.00641,13579.32331
0.00642,13144.44003
0.00643,13745.28891
0.00644,12904.52958
0.00645,12976.2254
0.00646,12740.77492
0.00647,12755.53424
0.00648,12659.94839
0.00649,12543.03859
0.0065,12517.81801
0.00651,12371.09518
0.00652,11773.71399
0.00653,11979.67235
0.00654,11614.01479
0.00655,11448.65273
0.00656,11935.69164
0.00657,11413.53006
0.00658,11382.77299
0.00659,10843.28215
0.0066,11217.63376
0.00661,11203.33762
0.00662,11119.93521
0.00663,10861.18842
0.00664,10668.29566
0.00665,10828.41286
0.00666,10524.4
0.00667,10275.9918
0.00668,10353.42106
0.00669,10343.59646
0.0067,10102.99823
0.00671,9593.736495
0.00672,10565.42588
0.00673,10175.02862
0.00674,9713.801125
0.00675,9740.614309
0.00676,9548.747106
0.00677,9526.8
0.00678,9439.723794
0.00679,9219.806752
0.0068,9044.046141
0.00681,9289.571383
0.00682,8556.499839
0.00683,9055.844051
0.00684,8783.922669
0.00685,8956.394051
0.00686,8647.958521
0.00687,8400.772026
0.00688,8378.038746
0.00689,8504.032315
0.0069,8437.053537
0.00691,8256.188264
0.00692,8199.095338
0.00693,7850.657717
0.00694,8124.511254
0.00695,7979.535691
0.00696,7976.452572
0.00697,7610.813183
0.00698,7441.690354
0.00699,7768.13955
0.007,7447.08537
0.00701,7341.37926
0.00702,7161.551768
0.00703,7306.475884
0.00704,7247.914952
0.00705,6731.842122
0.00706,6941.645659
0.00707,6847.426206
0.00708,7260.042122
0.00709,6640.829582
0.0071,6802.329421
0.00711,6534.380707
0.00712,6774.420096
0.00713,6641.917363
0.00714,6181.855949
0.00715,6505.854019
0.00716,6467.396945
0.00717,6032.24582
0.00718,6340.099035
0.00719,6335.497749
0.0072,6249.776688
0.00721,6165.695498
0.00722,6191.25418
0.00723,6365.287299
0.00724,5797.67508
0.00725,5737.699196
0.00726,5756.838424
0.00727,5635.833762
0.00728,5626.375241
0.00729,5708.341479
0.0073,5540.069453
0.00731,5387.623312
0.00732,5171.644695
0.00733,5291.213183
0.00734,5119.145659
0.00735,5426.924277
0.00736,5214.433119
0.00737,5186.94373
0.00738,4753.315916
0.00739,4958.495659
0.0074,4851.339711
0.00741,4835.30418
0.00742,5024.520579
0.00743,4832.469775
0.00744,4710.078617
0.00745,4695.491961
0.00746,4989.590193
0.00747,4577.445338
