qnm,output_norm
0.00368,20297.88043
0.00369,21662.20894
0.0037,19766.4506
0.00371,19792.32222
0.00372,19416.17873
0.00373,18182.2404
0.00374,21277.20076
0.00375,17662.8798
0.00376,19478.91756
0.00377,18859.52045
0.00378,18783.68282
0.00379,16915.70044
0.0038,18655.33795
0.00381,18493.59094
0.00382,18757.70925
0.00383,18185.02203
0.00384,19030.33354
0.00385,16652.68093
0.00386,17184.44682
0.00387,17902.68597
0.00388,18044.64569
0.00389,17802.86344
0.0039,18543.79232
0.00391,18216.4141
0.00392,18065.37571
0.00393,17055.29893
0.00394,17145.76086
0.00395,16474.19761
0.00396,17159.77093
0.00397,17731.82001
0.00398,16545.62618
0.00399,17476.03021
0.004,16554.3411
0.00401,16936.26432
0.00402,16450.02643
0.00403,15636.24921
0.00404,16637.03587
0.00405,16384.41661
0.00406,17144.95406
0.00407,16425.4248
0.00408,16313.80239
0.00409,15261.42228
0.0041,16297.62366
0.00411,16472.77533
0.00412,15570.18628
0.00413,15485.26495
0.00414,15500.54877
0.00415,15473.7747
0.00416,15350.01636
0.00417,16110
0.00418,16310.8219
0.00419,15019.01699
0.0042,15225.50787
0.00421,14164.04531
0.00422,14929.8175
0.00423,14584.75393
0.00424,14785.57835
0.00425,14283.35431
0.00426,14780.11328
0.00427,14181.01699
0.00428,14146.09188
0.00429,14549.62618
0.0043,14177.67904
0.00431,13798.77281
0.00432,14548.50598
0.00433,14149.69918
0.00434,14060.30082
0.00435,13790.96665
0.00436,14216.06923
0.00437,13526.2253
0.00438,13369.80113
0.00439,12626.46193
0.0044,13335.85022
0.00441,13491.08496
0.00442,13219.21586
0.00443,13241.81875
0.00444,12920.07552
0.00445,13587.35179
0.00446,12472.03524
0.00447,12919.87288
0.00448,12606.95028
0.00449,12724.59157
0.0045,13275.64506
0.00451,12166.75419
0.00452,12954.52234
0.00453,12984.40654
0.00454,12462.95557
0.00455,12579.78968
0.00456,11974.33707
0.00457,12259.86797
0.00458,11809.22882
0.00459,11346.3095
0.0046,11460.66696
0.00461,11655.77432
0.00462,12172.17017
0.00463,11132.58515
0.00464,12036.15746
0.00465,11409.11932
0.00466,11488.92209
0.00467,10818.57407
0.00468,10796.90321
0.00469,10969.62316
0.0047,10509.37357
0.00471,10779.73581
0.00472,11042.16476
0.00473,10512.42417
0.00474,10840.07426
0.00475,10860.47665
0.00476,10842.51101
0.00477,10230.23889
0.00478,10181.36086
0.00479,9870.511013
0.0048,10132.41057
0.00481,10399.05777
0.00482,10291.26558
0.00483,9959.487099
0.00484,10656.59773
0.00485,10487.65828
0.00486,9641.283826
0.00487,9765.847074
0.00488,9702.958087
0.00489,9689.988295
0.0049,9944.758716
0.00491,9594.581372
0.00492,9480.056514
0.00493,9625.836501
0.00494,9795.319069
0.00495,9699.793833
0.00496,9375.768282
0.00497,9829.607048
