Energy (eV),delta,beta
309.2999878,0.001760246,0.000961881
309.5,0.001750938,0.000961435
309.7000122,0.00173254,0.000933123
309.8999939,0.001714647,0.000948548
310.1000061,0.001704732,0.00093676
310.2999878,0.00169706,0.000951322
310.5,0.001701478,0.000944849
310.7000122,0.001695471,0.000931931
310.8999939,0.001678272,0.000924545
311.1000061,0.001668667,0.000938244
311.2999878,0.001670259,0.000940053
311.5,0.001673833,0.000939928
311.7000122,0.001667381,0.000926066
311.8999939,0.001662982,0.000937559
312.1000061,0.001670635,0.000932712
312.2999878,0.001668802,0.000918014
312.5,0.001656021,0.000909619
312.7000122,0.001647326,0.000915757
312.8999939,0.001645318,0.000916437
313.1000061,0.001644,0.000916983
313.2999878,0.001642772,0.000915205
313.5,0.001642986,0.00091497
313.7000122,0.00164202,0.000909159
313.8999939,0.001638695,0.000906577
